Category,2022,2021,Difference,% Change
Total Applications,78012,79176,-1164,-1.5%
Level 8 Applications,68480,70307,-1827,-2.6%
Levels 7/6 Applications,31467,33163,-1696,-5.1%
Indicated DARE application,8713,7839,874,11.1%
Indicated HEAR application,9247,10016,-769,-7.7%

Isced Narrow Field,Total Mentions,First Preferences,Total Mentions,First Preferences,Total Mentions,First Preferences,% Change,% Change
(011) Education,22976,4995,23071,5073,-95,-78,0%,-2%
(021) Arts,45166,7432,41716,7036,3450,396,8%,6%
(022) Humanities (except languages),16630,2699,15479,2596,1151,103,7%,4%
(023) Languages,4246,811,4009,694,237,117,6%,17%
(028) Interdisciplinary programmes and qualifications involving arts and humanities,345,43,217,27,128,16,59%,59%
(031) Social and behavioural sciences,34516,5472,35528,5846,-1012,-374,-3%,-6%
(032) Journalism and information,2589,321,2665,328,-76,-7,-3%,-2%
(041) Business and administration,53675,8492,55997,8735,-2322,-243,-4%,-3%
(042) Law,16553,2627,17666,2772,-1113,-145,-6%,-5%
(051) Biological and related sciences,23514,3251,24623,3333,-1109,-82,-5%,-2%
(052) Environment,4510,532,3633,393,877,139,24%,35%
(053) Physical sciences,9774,1166,9325,1109,449,57,5%,5%
(054) Mathematics and statistics,3456,529,3485,565,-29,-36,-1%,-6%
(058) Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics,5878,889,5744,955,134,-66,2%,-7%
(061) Information and Communication Technologies (ICTs),23589,3829,22632,3606,957,223,4%,6%
(071) Engineering and engineering trades,23763,4025,23047,4029,716,-4,3%,0%
(072) Manufacturing and processing,2498,267,2219,258,279,9,13%,3%
(073) Architecture and construction,14238,2627,13384,2358,854,269,6%,11%
(081) Agriculture,1903,345,2359,422,-456,-77,-19%,-18%
(084) Veterinary,2231,1050,2251,1050,-20,0,-1%,0%
(088) Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary,2074,476,1837,460,237,16,13%,3%
(091) Health,72035,13021,82620,14728,-10585,-1707,-13%,-12%
(092) Welfare,9219,1687,9945,1902,-726,-215,-7%,-11%
(101) Personal services,10701,1818,11094,1897,-393,-79,-4%,-4%
(102) Hygiene and occupational health services,417,57,432,97,-15,-40,-3%,-41%
(104) Transport services,141,19,212,38,-71,-19,-33%,-50%
Total Applications,406637,68480,415190,70307,-8553,-1827,-2%,-3%

Specialist Groups,Total Mentions,First Preferences,Total Mentions,First Preferences,Total Mentions,First Preferences,% Change,% Change
(001) Primary Education,9444,2543,10478,2726,-1034,-183,-10%,-7%
(002) Secondary Education,9435,1960,8616,1931,819,29,10%,2%
(003) Dentistry (including Dental Nursing and Hygiene),1530,464,1393,413,137,51,10%,12%
(004) Medicine,16338,4058,15649,4031,689,27,4%,1%
(005) Nursing and midwifery,30840,4363,40943,5951,-10103,-1588,-25%,-27%
(006) Pharmacy (including Pharmacy Technician),2621,484,2673,518,-52,-34,-2%,-7%
(007) Art, Design and Media (techniques and production),13252,2783,12115,2593,1137,190,9%,7%
(008) Veterinary Medicine,939,620,911,604,28,16,3%,3%
(009) Physiotherapy,3557,834,3911,871,-354,-37,-9%,-4%

Isced Narrow Field,Total Mentions,First Preferences,Total Mentions,First Preferences,Total Mentions,First Preferences,% Change Mentions,% Change First Preferences
(011) Education,1533,485,1640,561,-107,-76,-7%,-14%
(021) Arts,9017,2705,8286,2505,731,200,9%,8%
(022) Humanities (except languages),538,231,657,271,-119,-40,-18%,-15%
(031) Social and behavioural sciences,880,191,949,203,-69,-12,-7%,-6%
(032) Journalism and information,359,70,162,29,197,41,122%,141%
(041) Business and administration,22822,5864,25097,6436,-2275,-572,-9%,-9%
(042) Law,1025,363,1199,437,-174,-74,-15%,-17%
(051) Biological and related sciences,12168,3132,11817,3046,351,86,3%,3%
(052) Environment,1331,255,1539,270,-208,-15,-14%,-6%
(053) Physical sciences,4458,1112,4595,1068,-137,44,-3%,4%
(061) Information and Communication Technologies (ICTs),8950,2012,9533,2095,-583,-83,-6%,-4%
(071) Engineering and engineering trades,14672,3459,15678,3681,-1006,-222,-6%,-6%
(072) Manufacturing and processing,504,79,923,158,-419,-79,-45%,-50%
(073) Architecture and construction,6690,1631,5901,1411,789,220,13%,16%
(081) Agriculture,1773,619,2016,712,-243,-93,-12%,-13%
(084) Veterinary,3117,1060,3036,1101,81,-41,3%,-4%
(088) Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary,145,55,154,46,-9,9,-6%,20%
(091) Health,8685,2772,9036,2964,-351,-192,-4%,-6%
(092) Welfare,7109,2503,8927,3002,-1818,-499,-20%,-17%
(101) Personal services,11157,2733,12763,3006,-1606,-273,-13%,-9%
(102) Hygiene and occupational health services,163,50,160,61,3,-11,2%,-18%
(104) Transport services,244,86,324,100,-80,-14,-25%,-14%
Total Applications,117340,31467,124392,33163,-7052,-1696,-6%,-5%

Isced Narrow Field,Total Mentions,First Preferences,Total Mentions,First Preferences,% Change Mentions,% Change First Preferences  
(003) Dentistry (including Dental Nursing and Hygiene),2367,922,2497,953,-130,-31,-5%,-3%  
(006) Pharmacy (including Pharmacy Technician),1315,370,1522,463,-207,-93,-14%,-20%  
(007) Art, Design and Media (techniques and production),5267,1546,4902,1403,365,143,7%,10%
